content_type,number_of_peers,opt_type,runtime_in_ms,success,objective,avg_delay
MESSAGING,20,HEU,54.1635,1,897.3100,93.8751
MESSAGING,20,ILP,DNF,0,-,-
MESSAGING,20,MST,13.9420,1,838.1550,153.2631
GAMING,20,DIR,0.0215,0,0.0000,0.0000
GAMING,20,HEU,1.9646,0,0.0000,0.0000
GAMING,20,ILP,DNF,0,-,-
GAMING,20,MST,14.4172,0,0.0000,0.0000
VIDEO,21,DIR,0.1433,1,4301.1550,53.6450
VIDEO,21,HEU,15.4576,1,907.3100,92.5741
VIDEO,21,ILP,DNF,0,-,-
VIDEO,21,MST,15.1002,1,848.1550,153.8033
AUDIO,21,DIR,0.0584,1,4301.1550,53.6450
AUDIO,21,HEU,36.6304,1,907.3100,89.1358
AUDIO,21,ILP,DNF,0,-,-
AUDIO,21,MST,29.9914,0,0.0000,0.0000
MESSAGING,21,DIR,0.0503,1,4301.1550,53.6450
MESSAGING,21,HEU,37.9658,1,907.3100,92.5741
MESSAGING,21,ILP,DNF,0,-,-
MESSAGING,21,MST,13.6249,1,848.1550,153.8033
GAMING,21,DIR,0.0439,0,0.0000,0.0000
GAMING,21,HEU,2.0280,0,0.0000,0.0000
GAMING,21,ILP,DNF,0,-,-
GAMING,21,MST,30.2227,0,0.0000,0.0000
VIDEO,22,DIR,0.1488,1,4501.7750,55.1387
VIDEO,22,HEU,16.4647,1,907.9300,92.4513
VIDEO,22,ILP,DNF,0,-,-
VIDEO,22,MST,17.4098,1,848.7750,155.3464
AUDIO,22,DIR,0.0558,1,4501.7750,55.1387
AUDIO,22,HEU,22.7389,1,907.9300,89.1767
AUDIO,22,ILP,DNF,0,-,-
AUDIO,22,MST,30.5781,0,0.0000,0.0000
MESSAGING,22,DIR,0.0498,1,4501.7750,55.1387
MESSAGING,22,HEU,40.1664,1,907.9300,92.4513
MESSAGING,22,ILP,DNF,0,-,-
MESSAGING,22,MST,14.2503,1,848.7750,155.3464
GAMING,22,DIR,0.0386,0,0.0000,0.0000
GAMING,22,HEU,2.1989,0,0.0000,0.0000
GAMING,22,ILP,DNF,0,-,-
GAMING,22,MST,13.9859,0,0.0000,0.0000
VIDEO,23,DIR,0.1485,1,4702.7750,55.5493
VIDEO,23,HEU,17.4818,1,908.9300,91.3923
VIDEO,23,ILP,DNF,0,-,-
VIDEO,23,MST,15.2333,1,849.7750,155.8018
AUDIO,23,DIR,0.0465,1,4702.7750,55.5493
AUDIO,23,HEU,22.0954,1,908.9300,88.2666
AUDIO,23,ILP,DNF,0,-,-
AUDIO,23,MST,15.3024,0,0.0000,0.0000
MESSAGING,23,DIR,0.0401,1,4702.7750,55.5493
MESSAGING,23,HEU,23.9420,1,908.9300,91.3923
MESSAGING,23,ILP,DNF,0,-,-
MESSAGING,23,MST,13.9914,1,849.7750,155.8018
GAMING,23,DIR,0.0172,0,0.0000,0.0000
GAMING,23,HEU,1.9598,0,0.0000,0.0000
GAMING,23,ILP,DNF,0,-,-
GAMING,23,MST,13.7284,0,0.0000,0.0000
VIDEO,24,DIR,0.1388,1,4907.7750,56.3121
VIDEO,24,HEU,21.9376,1,913.7750,107.3275
VIDEO,24,ILP,DNF,0,-,-
VIDEO,24,MST,15.1458,1,849.7750,156.6717
AUDIO,24,DIR,0.0653,1,4907.7750,56.3121
AUDIO,24,HEU,41.1100,1,999.4300,104.0778
AUDIO,24,ILP,DNF,0,-,-
AUDIO,24,MST,13.5775,0,0.0000,0.0000
MESSAGING,24,DIR,0.0527,1,4907.7750,56.3121
MESSAGING,24,HEU,56.7319,1,913.7750,107.3275
MESSAGING,24,ILP,DNF,0,-,-
MESSAGING,24,MST,29.8185,1,849.7750,156.6717
GAMING,24,DIR,0.0153,0,0.0000,0.0000
GAMING,24,HEU,0.9024,0,0.0000,0.0000
GAMING,24,ILP,DNF,0,-,-
GAMING,24,MST,13.7064,0,0.0000,0.0000
VIDEO,25,DIR,0.1416,1,5113.7750,57.4575
VIDEO,25,HEU,19.3291,1,905.7750,106.1540
VIDEO,25,ILP,DNF,0,-,-
VIDEO,25,MST,15.4905,1,841.7750,158.6607
AUDIO,25,DIR,0.0463,1,5113.7750,57.4575
AUDIO,25,HEU,26.0696,1,991.4300,103.5188
AUDIO,25,ILP,DNF,0,-,-
AUDIO,25,MST,13.3209,0,0.0000,0.0000
MESSAGING,25,DIR,0.0699,1,5113.7750,57.4575
MESSAGING,25,HEU,42.3708,1,905.7750,106.1540
MESSAGING,25,ILP,DNF,0,-,-
MESSAGING,25,MST,37.9634,1,841.7750,158.6607
GAMING,25,DIR,0.0134,0,0.0000,0.0000
GAMING,25,HEU,0.8085,0,0.0000,0.0000
GAMING,25,ILP,DNF,0,-,-
GAMING,25,MST,13.8588,0,0.0000,0.0000
VIDEO,26,DIR,0.1700,1,5513.7750,60.0606
VIDEO,26,HEU,20.1526,1,1005.7750,106.5710
VIDEO,26,ILP,DNF,0,-,-
VIDEO,26,MST,15.3873,1,941.7750,164.1169
AUDIO,26,DIR,0.0458,1,5513.7750,60.0606
AUDIO,26,HEU,26.2589,1,1091.4300,104.5010
AUDIO,26,ILP,DNF,0,-,-
AUDIO,26,MST,42.4974,0,0.0000,0.0000
MESSAGING,26,DIR,0.0510,1,5513.7750,60.0606
MESSAGING,26,HEU,60.5483,1,1005.7750,106.5710
MESSAGING,26,ILP,DNF,0,-,-
MESSAGING,26,MST,31.0230,1,941.7750,164.1169
GAMING,26,DIR,0.0267,0,0.0000,0.0000
GAMING,26,HEU,0.8388,0,0.0000,0.0000
GAMING,26,ILP,DNF,0,-,-
GAMING,26,MST,14.1807,0,0.0000,0.0000
VIDEO,27,DIR,0.1493,1,5660.7750,62.3551
VIDEO,27,HEU,21.6017,1,1013.9300,115.1282
VIDEO,27,ILP,DNF,0,-,-
VIDEO,27,MST,15.6937,1,946.7750,163.4309
AUDIO,27,DIR,0.0415,1,5660.7750,62.3551
AUDIO,27,HEU,27.8556,1,1096.4300,105.5221
AUDIO,27,ILP,DNF,0,-,-
AUDIO,27,MST,32.4059,0,0.0000,0.0000
MESSAGING,27,DIR,0.0627,1,5660.7750,62.3551
MESSAGING,27,HEU,67.2503,1,1013.9300,115.1282
